"querynumero","execucaonumero","tempoexecucao"
1,1,"0.006441"
1,2,"0.000239"
1,3,"0.000213"
1,4,"0.000137"
1,5,"0.000339"
1,6,"0.000314"
1,7,"0.000174"
1,8,"0.000132"
1,9,"0.000098"
1,10,"0.000094"
1,11,"0.000094"
1,12,"0.000102"
1,13,"0.000094"
1,14,"0.000093"
1,15,"0.000093"
1,16,"0.000092"
1,17,"0.000093"
1,18,"0.000093"
1,19,"0.000093"
1,20,"0.000092"
1,21,"0.000092"
1,22,"0.000094"
1,23,"0.000092"
1,24,"0.000092"
1,25,"0.000092"
1,26,"0.000093"
1,27,"0.000092"
1,28,"0.000091"
1,29,"0.000092"
1,30,"0.000092"
1,31,"0.000099"
1,32,"0.000093"
1,33,"0.000092"
1,34,"0.000092"
1,35,"0.000093"
1,36,"0.000092"
1,37,"0.000092"
1,38,"0.000092"
1,39,"0.000092"
1,40,"0.000093"
1,41,"0.000101"
1,42,"0.000092"
1,43,"0.000094"
1,44,"0.000092"
1,45,"0.000092"
1,46,"0.000093"
1,47,"0.000092"
1,48,"0.000092"
1,49,"0.000093"
1,50,"0.000094"
2,1,"0.000100"
2,2,"0.000094"
2,3,"0.000093"
2,4,"0.000093"
2,5,"0.000092"
2,6,"0.000093"
2,7,"0.000094"
2,8,"0.000092"
2,9,"0.000092"
2,10,"0.000102"
2,11,"0.000093"
2,12,"0.000092"
2,13,"0.000092"
2,14,"0.000092"
2,15,"0.000092"
2,16,"0.000092"
2,17,"0.000092"
2,18,"0.000092"
2,19,"0.000093"
2,20,"0.000102"
2,21,"0.000092"
2,22,"0.000092"
2,23,"0.000092"
2,24,"0.000092"
2,25,"0.000092"
2,26,"0.000092"
2,27,"0.000092"
2,28,"0.000091"
2,29,"0.000100"
2,30,"0.000127"
2,31,"0.000094"
2,32,"0.000092"
2,33,"0.000093"
2,34,"0.000093"
2,35,"0.000093"
2,36,"0.000093"
2,37,"0.000093"
2,38,"0.000092"
2,39,"0.000110"
2,40,"0.000093"
2,41,"0.000092"
2,42,"0.000092"
2,43,"0.000093"
2,44,"0.000092"
2,45,"0.000092"
2,46,"0.000093"
2,47,"0.000092"
2,48,"0.000100"
2,49,"0.000093"
2,50,"0.000092"
3,1,"0.000274"
3,2,"0.000092"
3,3,"0.000086"
3,4,"0.000084"
3,5,"0.000085"
3,6,"0.000092"
3,7,"0.000086"
3,8,"0.000084"
3,9,"0.000084"
3,10,"0.000083"
3,11,"0.000083"
3,12,"0.000084"
3,13,"0.000083"
3,14,"0.000084"
3,15,"0.000084"
3,16,"0.000084"
3,17,"0.000093"
3,18,"0.000086"
3,19,"0.000085"
3,20,"0.000084"
3,21,"0.000084"
3,22,"0.000084"
3,23,"0.000085"
3,24,"0.000084"
3,25,"0.000084"
3,26,"0.000084"
3,27,"0.000091"
3,28,"0.000085"
3,29,"0.000084"
3,30,"0.000084"
3,31,"0.000083"
3,32,"0.000084"
3,33,"0.000083"
3,34,"0.000084"
3,35,"0.000084"
3,36,"0.000083"
3,37,"0.000083"
3,38,"0.000091"
3,39,"0.000085"
3,40,"0.000085"
3,41,"0.000083"
3,42,"0.000084"
3,43,"0.000083"
3,44,"0.000083"
3,45,"0.000084"
3,46,"0.000083"
3,47,"0.000244"
3,48,"0.000173"
3,49,"0.000154"
3,50,"0.000098"
4,1,"0.003612"
4,2,"0.000132"
4,3,"0.000091"
4,4,"0.000089"
4,5,"0.000088"
4,6,"0.000088"
4,7,"0.000086"
4,8,"0.000088"
4,9,"0.000093"
4,10,"0.000088"
4,11,"0.000087"
4,12,"0.000088"
4,13,"0.000085"
4,14,"0.000087"
4,15,"0.000086"
4,16,"0.000086"
4,17,"0.000087"
4,18,"0.000086"
4,19,"0.000093"
4,20,"0.000086"
4,21,"0.000087"
4,22,"0.000085"
4,23,"0.000086"
4,24,"0.000086"
4,25,"0.000086"
4,26,"0.000085"
4,27,"0.000086"
4,28,"0.000086"
4,29,"0.000086"
4,30,"0.000092"
4,31,"0.000086"
4,32,"0.000086"
4,33,"0.000085"
4,34,"0.000086"
4,35,"0.000086"
4,36,"0.000086"
4,37,"0.000180"
4,38,"0.000092"
4,39,"0.000108"
4,40,"0.000087"
4,41,"0.000087"
4,42,"0.000088"
4,43,"0.000087"
4,44,"0.000086"
4,45,"0.000087"
4,46,"0.000086"
4,47,"0.000086"
4,48,"0.000086"
4,49,"0.000095"
4,50,"0.000086"
5,1,"0.000161"
5,2,"0.000109"
5,3,"0.000107"
5,4,"0.000106"
5,5,"0.000105"
5,6,"0.000104"
5,7,"0.000113"
5,8,"0.000106"
5,9,"0.000109"
5,10,"0.000104"
5,11,"0.000104"
5,12,"0.000106"
5,13,"0.000104"
5,14,"0.000103"
5,15,"0.000107"
5,16,"0.000106"
5,17,"0.000104"
5,18,"0.000105"
5,19,"0.000103"
5,20,"0.000104"
5,21,"0.000104"
5,22,"0.000102"
5,23,"0.000103"
5,24,"0.000111"
5,25,"0.000106"
5,26,"0.000105"
5,27,"0.000105"
5,28,"0.000104"
5,29,"0.000104"
5,30,"0.000104"
5,31,"0.000103"
5,32,"0.000103"
5,33,"0.000113"
5,34,"0.000104"
5,35,"0.000104"
5,36,"0.000104"
5,37,"0.000104"
5,38,"0.000104"
5,39,"0.000105"
5,40,"0.000104"
5,41,"0.000103"
5,42,"0.000113"
5,43,"0.000103"
5,44,"0.000103"
5,45,"0.000103"
5,46,"0.000103"
5,47,"0.000105"
5,48,"0.000104"
5,49,"0.000104"
5,50,"0.000111"
6,1,"0.003942"
6,2,"0.000118"
6,3,"0.000072"
6,4,"0.000067"
6,5,"0.000067"
6,6,"0.000066"
6,7,"0.000065"
6,8,"0.000065"
6,9,"0.000064"
6,10,"0.000064"
6,11,"0.000063"
6,12,"0.000065"
6,13,"0.000064"
6,14,"0.000074"
6,15,"0.000064"
6,16,"0.000064"
6,17,"0.000064"
6,18,"0.000064"
6,19,"0.000064"
6,20,"0.000064"
6,21,"0.000064"
6,22,"0.000063"
6,23,"0.000065"
6,24,"0.000064"
6,25,"0.000064"
6,26,"0.000064"
6,27,"0.000072"
6,28,"0.000112"
6,29,"0.000070"
6,30,"0.000064"
6,31,"0.000065"
6,32,"0.000064"
6,33,"0.000065"
6,34,"0.000065"
6,35,"0.000064"
6,36,"0.000064"
6,37,"0.000065"
6,38,"0.000063"
6,39,"0.000064"
6,40,"0.000068"
6,41,"0.000123"
6,42,"0.000151"
6,43,"0.000157"
6,44,"0.000122"
6,45,"0.000071"
6,46,"0.000065"
6,47,"0.000065"
6,48,"0.000066"
6,49,"0.000091"
6,50,"0.000065"
7,1,"0.000290"
7,2,"0.000201"
7,3,"0.000090"
7,4,"0.000135"
7,5,"0.000172"
7,6,"0.000083"
7,7,"0.000073"
7,8,"0.000072"
7,9,"0.000070"
7,10,"0.000070"
7,11,"0.000071"
7,12,"0.000069"
7,13,"0.000071"
7,14,"0.000070"
7,15,"0.000069"
7,16,"0.000081"
7,17,"0.000072"
7,18,"0.000070"
7,19,"0.000071"
7,20,"0.000070"
7,21,"0.000069"
7,22,"0.000169"
7,23,"0.000222"
7,24,"0.000127"
7,25,"0.000079"
7,26,"0.000072"
7,27,"0.000071"
7,28,"0.000070"
7,29,"0.000070"
7,30,"0.000070"
7,31,"0.000069"
7,32,"0.000069"
7,33,"0.000070"
7,34,"0.000069"
7,35,"0.000069"
7,36,"0.000077"
7,37,"0.000071"
7,38,"0.000070"
7,39,"0.000095"
7,40,"0.000073"
7,41,"0.000070"
7,42,"0.000071"
7,43,"0.000070"
7,44,"0.000070"
7,45,"0.000070"
7,46,"0.000070"
7,47,"0.000070"
7,48,"0.000079"
7,49,"0.000071"
7,50,"0.000070"
8,1,"0.002472"
8,2,"0.000105"
8,3,"0.000066"
8,4,"0.000064"
8,5,"0.000081"
8,6,"0.000063"
8,7,"0.000062"
8,8,"0.000062"
8,9,"0.000063"
8,10,"0.000114"
8,11,"0.000069"
8,12,"0.000064"
8,13,"0.000064"
8,14,"0.000063"
8,15,"0.000062"
8,16,"0.000063"
8,17,"0.000068"
8,18,"0.000064"
8,19,"0.000062"
8,20,"0.000062"
8,21,"0.000062"
8,22,"0.000168"
8,23,"0.000078"
8,24,"0.000065"
8,25,"0.000062"
8,26,"0.000062"
8,27,"0.000427"
8,28,"0.000149"
8,29,"0.000075"
8,30,"0.000064"
8,31,"0.000063"
8,32,"0.000062"
8,33,"0.000061"
8,34,"0.000061"
8,35,"0.000062"
8,36,"0.000061"
8,37,"0.000062"
8,38,"0.000061"
8,39,"0.000061"
8,40,"0.000061"
8,41,"0.000062"
8,42,"0.000061"
8,43,"0.000069"
8,44,"0.000062"
8,45,"0.000061"
8,46,"0.000062"
8,47,"0.000061"
8,48,"0.000062"
8,49,"0.000061"
8,50,"0.000061"
9,1,"0.002074"
9,2,"0.000120"
9,3,"0.000072"
9,4,"0.000069"
9,5,"0.000077"
9,6,"0.000069"
9,7,"0.000068"
9,8,"0.000068"
9,9,"0.000069"
9,10,"0.000068"
9,11,"0.000068"
9,12,"0.000068"
9,13,"0.000119"
9,14,"0.000084"
9,15,"0.000156"
9,16,"0.000098"
9,17,"0.000073"
9,18,"0.000070"
9,19,"0.000069"
9,20,"0.000068"
9,21,"0.000067"
9,22,"0.000068"
9,23,"0.000111"
9,24,"0.000129"
9,25,"0.000094"
9,26,"0.000071"
9,27,"0.000068"
9,28,"0.000067"
9,29,"0.000067"
9,30,"0.000067"
9,31,"0.000068"
9,32,"0.000067"
9,33,"0.000067"
9,34,"0.000066"
9,35,"0.000066"
9,36,"0.000067"
9,37,"0.000067"
9,38,"0.000073"
9,39,"0.000068"
9,40,"0.000067"
9,41,"0.000067"
9,42,"0.000067"
9,43,"0.000068"
9,44,"0.000066"
9,45,"0.000067"
9,46,"0.000067"
9,47,"0.000067"
9,48,"0.000067"
9,49,"0.000068"
9,50,"0.000067"
10,1,"0.002042"
10,2,"0.000108"
10,3,"0.000071"
10,4,"0.000070"
10,5,"0.000070"
10,6,"0.000068"
10,7,"0.000069"
10,8,"0.000069"
10,9,"0.000068"
10,10,"0.000069"
10,11,"0.000068"
10,12,"0.000068"
10,13,"0.000074"
10,14,"0.000069"
10,15,"0.000069"
10,16,"0.000068"
10,17,"0.000068"
10,18,"0.000069"
10,19,"0.000068"
10,20,"0.000068"
10,21,"0.000068"
10,22,"0.000069"
10,23,"0.000069"
10,24,"0.000069"
10,25,"0.000069"
10,26,"0.000078"
10,27,"0.000070"
10,28,"0.000069"
10,29,"0.000068"
10,30,"0.000068"
10,31,"0.000068"
10,32,"0.000068"
10,33,"0.000068"
10,34,"0.000068"
10,35,"0.000068"
10,36,"0.000068"
10,37,"0.000068"
10,38,"0.000069"
10,39,"0.000166"
10,40,"0.000146"
10,41,"0.000797"
10,42,"0.000296"
10,43,"0.000214"
10,44,"0.000177"
10,45,"0.000081"
10,46,"0.000084"
10,47,"0.000081"
10,48,"0.000083"
10,49,"0.000077"
10,50,"0.000069"
11,1,"0.002332"
11,2,"0.000113"
11,3,"0.000079"
11,4,"0.000078"
11,5,"0.000077"
11,6,"0.000076"
11,7,"0.000077"
11,8,"0.000076"
11,9,"0.000077"
11,10,"0.000083"
11,11,"0.000113"
11,12,"0.000082"
11,13,"0.000078"
11,14,"0.000078"
11,15,"0.000077"
11,16,"0.000076"
11,17,"0.000077"
11,18,"0.000076"
11,19,"0.000076"
11,20,"0.000084"
11,21,"0.000077"
11,22,"0.000076"
11,23,"0.000075"
11,24,"0.000075"
11,25,"0.000075"
11,26,"0.000075"
11,27,"0.000076"
11,28,"0.000076"
11,29,"0.000075"
11,30,"0.000076"
11,31,"0.000076"
11,32,"0.000082"
11,33,"0.000076"
11,34,"0.000075"
11,35,"0.000075"
11,36,"0.000076"
11,37,"0.000075"
11,38,"0.000074"
11,39,"0.000076"
11,40,"0.000075"
11,41,"0.000076"
11,42,"0.000076"
11,43,"0.000075"
11,44,"0.000082"
11,45,"0.000075"
11,46,"0.000075"
11,47,"0.000075"
11,48,"0.000075"
11,49,"0.000075"
11,50,"0.000074"
12,1,"0.000077"
12,2,"0.000075"
12,3,"0.000075"
12,4,"0.000075"
12,5,"0.000081"
12,6,"0.000077"
12,7,"0.000090"
12,8,"0.000077"
12,9,"0.000076"
12,10,"0.000076"
12,11,"0.000076"
12,12,"0.000076"
12,13,"0.000076"
12,14,"0.000076"
12,15,"0.000084"
12,16,"0.000077"
12,17,"0.000076"
12,18,"0.000076"
12,19,"0.000076"
12,20,"0.000075"
12,21,"0.000075"
12,22,"0.000075"
12,23,"0.000075"
12,24,"0.000076"
12,25,"0.000076"
12,26,"0.000074"
12,27,"0.000082"
12,28,"0.000076"
12,29,"0.000075"
12,30,"0.000075"
12,31,"0.000075"
12,32,"0.000075"
12,33,"0.000076"
12,34,"0.000076"
12,35,"0.000074"
12,36,"0.000075"
12,37,"0.000076"
12,38,"0.000080"
12,39,"0.000077"
12,40,"0.000075"
12,41,"0.000075"
12,42,"0.000076"
12,43,"0.000076"
12,44,"0.000075"
12,45,"0.000075"
12,46,"0.000076"
12,47,"0.000076"
12,48,"0.000075"
12,49,"0.000075"
12,50,"0.000082"
13,1,"0.000131"
13,2,"0.000109"
13,3,"0.000104"
13,4,"0.000104"
13,5,"0.000103"
13,6,"0.000103"
13,7,"0.000103"
13,8,"0.000103"
13,9,"0.000111"
13,10,"0.000102"
13,11,"0.000102"
13,12,"0.000102"
13,13,"0.000102"
13,14,"0.000108"
13,15,"0.000104"
13,16,"0.000103"
13,17,"0.000109"
13,18,"0.000106"
13,19,"0.000103"
13,20,"0.000102"
13,21,"0.000103"
13,22,"0.000103"
13,23,"0.000104"
13,24,"0.000344"
13,25,"0.000138"
13,26,"0.000107"
13,27,"0.000133"
13,28,"0.000107"
13,29,"0.000103"
13,30,"0.000102"
13,31,"0.000102"
13,32,"0.000102"
13,33,"0.000162"
13,34,"0.000173"
13,35,"0.000143"
13,36,"0.000131"
13,37,"0.000128"
13,38,"0.000131"
13,39,"0.000130"
13,40,"0.000129"
13,41,"0.000167"
13,42,"0.000132"
13,43,"0.000105"
13,44,"0.000104"
13,45,"0.000102"
13,46,"0.000102"
13,47,"0.000102"
13,48,"0.000102"
13,49,"0.000109"
13,50,"0.000104"
14,1,"0.000107"
14,2,"0.000104"
14,3,"0.000103"
14,4,"0.000102"
14,5,"0.000102"
14,6,"0.000103"
14,7,"0.000101"
14,8,"0.000111"
14,9,"0.000102"
14,10,"0.000102"
14,11,"0.000101"
14,12,"0.000101"
14,13,"0.000101"
14,14,"0.000102"
14,15,"0.000102"
14,16,"0.000102"
14,17,"0.000111"
14,18,"0.000102"
14,19,"0.000101"
14,20,"0.000102"
14,21,"0.000101"
14,22,"0.000102"
14,23,"0.000102"
14,24,"0.000101"
14,25,"0.000102"
14,26,"0.000110"
14,27,"0.000102"
14,28,"0.000102"
14,29,"0.000102"
14,30,"0.000102"
14,31,"0.000101"
14,32,"0.000136"
14,33,"0.000131"
14,34,"0.000129"
14,35,"0.000106"
14,36,"0.000105"
14,37,"0.000104"
14,38,"0.000103"
14,39,"0.000102"
14,40,"0.000103"
14,41,"0.000103"
14,42,"0.000124"
14,43,"0.000105"
14,44,"0.000103"
